"Tag","Unit","Driver","Distance (mi)","Duration","Idle Time","Stop Time","Moving Percentage","Days Worked","Days Total","Days Percentage"
"Cota"," QJY339","","36.14","4 hr, 9 min, 1 sec","3 hr, 16 min, 40 sec","16 hr, 34 min, 19 sec","25.04%",1,1,"100.00%"
"Cota","A1 LUM169 AIR2","","211.71","6 hr, 3 min, 53 sec","6 hr, 58 min, 16 sec","10 hr, 57 min, 51 sec","55.31%",1,1,"100.00%"
"Cota","A2 LUM169 AIR2","","208.21","10 hr, 2 min, 49 sec","6 hr, 44 min, 27 sec","7 hr, 12 min, 44 sec","139.30%",1,1,"100.00%"
"Cota","A2 NUW693 AIR2","","80.95","4 hr, 35 min, 30 sec","3 hr, 14 min, 35 sec","16 hr, 9 min, 55 sec","28.40%",1,1,"100.00%"
"Cota","A2 QJX175 AIR2","","47.53","3 hr, 31 min, 37 sec","26 min, 6 sec","20 hr, 2 min, 18 sec","17.60%",1,1,"100.00%"
"Cota","A2 QJY339 AIR2","","33.59","2 hr, 34 min, 0 sec","5 hr, 9 min, 16 sec","16 hr, 16 min, 44 sec","15.77%",1,1,"100.00%"
"Cota","LUL144","","18.97","1 hr, 1 min, 17 sec","1 hr, 33 min, 21 sec","21 hr, 25 min, 22 sec","4.77%",1,1,"100.00%"
"Cota","NUW693","","81.42","3 hr, 53 min, 54 sec","26 min, 19 sec","19 hr, 39 min, 47 sec","19.83%",1,1,"100.00%"
"Cota","QJX175","","50.99","4 hr, 2 min, 37 sec","2 hr, 23 min, 36 sec","17 hr, 33 min, 47 sec","23.02%",1,1,"100.00%"
"Ibagué","CHN017","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,1,"0.00%"
"Ibagué","IBZ301","","0.00","0 min, 0 sec","4 min, 23 sec","8 hr, 24 min, 36 sec","0.00%",1,1,"100.00%"
"Ibagué","SXZ756","","47.51","5 hr, 14 min, 1 sec","1 hr, 33 min, 36 sec","12 hr, 13 min, 53 sec","42.79%",1,1,"100.00%"
"Ibagué","TDL796","","65.42","4 hr, 5 min, 15 sec","25 min, 58 sec","19 hr, 28 min, 47 sec","20.98%",1,1,"100.00%"
"Mosquera","LQK053","","110.64","5 hr, 7 min, 7 sec","48 min, 46 sec","12 hr, 15 min, 52 sec","41.74%",1,1,"100.00%"
"Mosquera","LQK054","","42.80","5 hr, 14 min, 5 sec","50 min, 54 sec","17 hr, 55 min, 1 sec","29.22%",1,1,"100.00%"
"Mosquera","NOY423","","83.73","6 hr, 16 min, 11 sec","1 hr, 10 min, 37 sec","16 hr, 33 min, 12 sec","37.88%",1,1,"100.00%"
"Mosquera","NOY424","","91.20","11 hr, 36 min, 35 sec","52 min, 13 sec","11 hr, 31 min, 12 sec","100.78%",1,1,"100.00%"
"Mosquera","SMR391","","39.35","9 hr, 24 min, 10 sec","18 min, 30 sec","14 hr, 17 min, 20 sec","65.80%",1,1,"100.00%"
"Mosquera","TDL795","","75.03","11 hr, 23 min, 14 sec","50 min, 16 sec","11 hr, 46 min, 30 sec","96.71%",1,1,"100.00%"
"Mosquera","WFL149","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,1,"0.00%"
"Pereira","SMR198","","150.85","0 min, 0 sec","0 min, 0 sec","0 min, 18 sec","0.00%",1,1,"100.00%"
"Pereira","SXY625","","80.13","3 hr, 48 min, 53 sec","25 min, 30 sec","19 hr, 45 min, 37 sec","19.31%",1,1,"100.00%"
"Pereira","TDL797","","89.36","11 hr, 22 min, 20 sec","16 min, 25 sec","12 hr, 21 min, 15 sec","92.05%",1,1,"100.00%"
"QJY339"," QJY339","","36.14","4 hr, 9 min, 1 sec","3 hr, 16 min, 40 sec","16 hr, 34 min, 19 sec","25.04%",1,1,"100.00%"
"untagged","CHN0177 AIR2","","0.00","0 min, 0 sec","0 min, 0 sec","0 min, 0 sec","0.00%",0,1,"0.00%"